y,x1,x2
24.8,30.2,94.62
24.7,30.18,94.77
24.6,30.16,94.79
24.5,30.13,94.95
24.4,30.11,94.93
24.3,30.11,95.1
24.2,30.11,95.25
24.2,30.11,95.53
24.1,30.09,95.79
24,30.11,96.09
23.9,30.15,96.37
23.8,30.18,96.65
23.7,30.2,96.86
23.6,30.25,96.92
23.8,30.28,96.95
24.1,30.3,96.96
24.3,30.32,96.97
24.6,30.32,96.91
24.8,30.33,96.85
25,30.33,96.79
25.3,30.37,96.48
25.5,30.36,96.24
25.8,30.3,95.85
26,30.3,95.59
26.2,30.28,95.38
26.5,30.25,95.48
26.7,30.23,95.61
26.9,30.22,95.81
27.2,30.2,96.09
27.4,30.25,96.26
27.7,30.22,96.27
27.9,30.25,96.19
27.6,30.22,96.02
27.4,30.23,95.91
27.1,30.19,95.84
26.8,30.2,95.8
26.5,30.18,95.95
26.3,30.18,96.14
26,30.18,96.34
25.7,30.18,96.59
25.5,30.2,96.66
25.2,30.22,96.82
24.9,30.25,97
24.6,30.26,97.1
24.4,30.3,97.2
24.1,30.33,97.25
23.8,30.36,97.42
23.5,30.39,97.26
23.3,30.39,97.14
23,30.39,96.94
23.1,30.4,96.65
23.2,30.37,96.53
23.3,30.37,96.26
23.4,30.32,96.04
23.5,30.3,95.92
23.7,30.3,95.94
23.8,30.26,95.94
23.9,30.25,96.06
24,30.23,96.09
24.1,30.23,96.01
24.2,30.23,96.14
24.3,30.23,96.18
24.4,30.22,96.24
24.5,30.2,96.16
24.6,30.2,95.83
24.7,30.2,95.57
24.8,30.15,95.73
25,30.13,95.84
25.1,30.12,95.95
25.2,30.12,96.12
25.3,30.11,96.26
25.4,30.12,96.33
25.5,30.11,96.34
25.6,30.11,96.42
25.5,30.09,96.41
25.4,30.09,96.46
25.3,30.08,96.57
25.2,30.06,96.59
25.2,30.06,96.63
25.1,30.06,96.71
25,30.06,96.7
24.9,30.05,96.72
24.8,30.06,96.75
24.7,30.04,96.68
24.6,30.04,96.76
24.5,30.02,96.75
24.4,30.02,96.77
24.4,30.04,96.87
24.3,30.05,96.65
24.2,30.03,96.51
24.1,30,96.37
24,29.98,96.23
23.9,30.01,96.43
23.8,30,96.4
23.7,29.97,96.27
23.6,29.97,96.22
23.5,29.95,96.24
23.5,29.92,96.18
23.4,29.91,96.19
23.3,29.9,96.24
23.2,29.9,96.33
23.1,29.9,96.46
23.1,29.88,96.58
23.2,29.88,96.73
23.2,29.88,96.87
23.2,29.88,96.88
23.3,29.9,96.93
23.3,29.92,96.9
23.4,29.9,96.88
23.4,29.9,96.8
23.4,29.91,96.82
23.5,29.88,96.79
23.5,29.87,96.73
23.5,29.9,96.67
23.6,29.9,96.64
23.6,29.87,96.67
23.7,29.87,96.62
23.7,29.87,96.55
23.7,29.87,96.54
23.8,29.88,96.54
23.8,29.85,96.56
23.8,29.87,96.53
23.9,29.84,96.51
23.9,29.82,96.49
24,29.82,96.54
24,29.81,96.59
24,29.82,96.49
24.1,29.78,96.43
24.1,29.77,96.37
24.1,29.75,96.2
24.2,29.75,96.05
24.2,29.73,95.97
24.3,29.67,96.1
24.3,29.68,95.78
24.3,29.65,96.08
24.4,29.63,96.08
24.4,29.64,96.37
24.4,29.65,96.59
24.5,29.64,96.64
24.5,29.64,96.82
24.6,29.65,96.51
24.6,29.63,96.11
24.6,29.6,96.24
24.7,29.58,96.13
24.7,29.57,95.91
24.53,29.56,96.08
24.36,29.56,95.92
24.19,29.53,95.58
24.02,29.53,96.05
23.85,29.5,96.24
23.68,29.51,96.4
23.51,29.51,96.61
23.34,29.54,96.69
23.17,29.53,96.7
23,29.54,96.63
22.83,29.51,96.66
22.66,29.54,96.68
22.49,29.53,96.6
22.32,29.51,96.59
22.15,29.51,96.54
21.98,29.51,96.51
21.81,29.5,96.57
21.64,29.5,96.52
21.47,29.46,96.62
21.3,29.46,96.61
21.13,29.47,96.63
20.96,29.46,96.63
20.79,29.46,96.64
20.62,29.45,96.64
20.45,29.4,96.62
20.28,29.43,96.71
20.11,29.42,96.7
19.94,29.39,96.77
19.77,29.42,96.93
19.6,29.4,96.89
19.43,29.43,97.31
19.26,29.47,97.57
19.09,29.5,97.69
18.92,29.49,97.71
18.75,29.51,97.78
18.58,29.49,97.57
18.41,29.5,97.44
18.24,29.47,97.26
18.07,29.46,97.27
17.9,29.46,97.43
17.73,29.46,97.53
17.56,29.47,97.67
17.39,29.45,97.63
17.22,29.46,97.71
17.05,29.47,97.51
16.88,29.46,97.66
16.71,29.49,97.75
16.54,29.5,98.02
16.37,29.5,97.5
16.2,29.47,95.84
16.43,29.43,96.45
16.65,29.42,96.73
16.88,29.42,96.13
17.11,29.43,96.78
17.34,29.43,97.2
17.56,29.47,97.5
17.79,29.49,97.77
18.02,29.5,97.91
18.25,29.53,97.8
18.47,29.51,97.66
18.7,29.51,97.42
18.93,29.5,97.21
19.15,29.49,97.03
19.38,29.42,96.9
19.61,29.39,96.82
19.84,29.36,96.68
20.06,29.35,96.61
20.29,29.32,96.61
20.52,29.3,96.6
20.75,29.25,96.62
20.97,29.25,96.66
21.2,29.25,96.78
21.43,29.23,96.88
21.65,29.22,96.89
21.88,29.2,96.84
22.11,29.2,96.85
22.34,29.19,97.02
22.56,29.2,97.12
22.79,29.2,97.3
23.02,29.23,97.38
23.25,29.22,97.41
23.47,29.22,97.3
23.7,29.2,97.15
23.62,29.2,96.95
23.54,29.19,96.81
23.46,29.16,96.73
23.38,29.15,96.65
23.3,29.13,96.67
23.22,29.13,96.78
23.15,29.13,96.85
23.07,29.15,97.06
22.99,29.15,97.19
22.91,29.18,97.27
22.83,29.18,97.19
22.75,29.18,97.12
22.67,29.18,97.04
22.59,29.15,96.89
22.51,29.18,96.76
22.43,29.13,96.72
22.35,29.13,96.69
22.27,29.13,96.7
22.2,29.13,96.62
22.12,29.13,96.56
22.04,29.1,96.58
21.96,29.1,96.52
21.88,29.09,96.43
21.8,29.1,96.32
21.72,29.08,96.26
21.64,29.05,96.26
21.56,29.09,96.29
21.48,29.03,95.59
21.4,28.98,93.73
21.32,29.01,94.94
21.25,28.98,95.7
21.17,28.99,96.06
21.09,29.01,96.17
21.01,29.01,96.13
20.93,29.05,96.14
20.85,29.05,96.29
20.77,29.08,96.51
20.69,29.06,96.21
20.61,29.08,95.74
20.53,29.1,95.22
20.45,29.1,95.65
20.38,29.13,95.89
20.3,29.15,96.05
20.22,29.16,96.13
20.14,29.18,96.19
20.06,29.2,96.05
19.98,29.22,95.77
19.9,29.22,94.13
19.77,29.23,95.42
19.64,29.27,96.15
19.51,29.35,96.48
19.38,29.4,96.67
19.25,29.4,95.93
19.12,29.4,94.61
18.99,29.4,95.16
18.86,29.43,95.52
18.74,29.45,95.68
18.61,29.46,95.69
18.48,29.49,95.59
18.35,29.47,95.49
18.22,29.51,95.27
18.09,29.51,95.35
17.96,29.53,95.54
17.83,29.56,95.77
17.7,29.58,95.89
17.57,29.61,96.11
17.44,29.64,95.76
17.31,29.68,95.88
17.18,29.71,95.89
17.05,29.74,95.74
16.92,29.78,95.54
16.79,29.8,95.36
16.66,29.81,95.09
16.54,29.82,94.68
16.41,29.84,94.18
16.28,29.84,93.72
16.15,29.84,93.46
16.02,29.85,93.22
15.89,29.81,93
15.76,29.82,92.8
15.63,29.82,92.65
15.5,29.82,92.6
15.59,29.85,92.62
15.68,29.84,92.62
15.77,29.84,92.73
15.87,29.85,92.89
15.96,29.87,93.05
16.05,29.89,92.96
16.14,29.9,92.87
16.23,29.92,92.78
16.32,29.92,92.58
16.41,29.95,92.24
16.51,29.97,91.97
16.6,30,91.57
16.69,30.02,91.31
16.78,30.01,91.09
16.87,30.01,90.9
16.96,30,90.77
17.05,30.01,90.47
17.15,30.01,90.26
17.24,30.02,90.17
17.33,30.06,90.05
17.42,30.05,89.71
17.51,30.05,89.76
17.6,30.08,89.46
17.69,30.08,89.09
17.79,30.08,88.97
17.88,30.11,88.89
17.97,30.12,88.81
18.06,30.09,88.66
18.15,30.12,88.36
18.24,30.12,88.21
18.33,30.16,88.25
18.43,30.18,88.09
18.52,30.2,87.83
18.61,30.23,87.58
18.7,30.26,87.38
18.52,30.29,87.04
18.35,30.32,86.79
18.17,30.35,86.91
17.99,30.4,87.24
17.82,30.43,87.16
17.64,30.49,86.92
17.46,30.53,86.46
17.29,30.56,85.92
17.11,30.59,85.55
16.93,30.61,84.74
16.76,30.61,84.26
16.58,30.66,83.88
16.4,30.67,84.07
16.23,30.68,84.21
16.05,30.73,83.66
15.87,30.74,83.37
15.7,30.77,83.2
15.52,30.8,82.94
15.34,30.84,82.86
15.17,30.85,82.68
14.99,30.92,82.51
14.81,30.95,82.46
14.64,30.96,82.4
14.46,30.99,82.17
14.28,31.05,82.01
14.11,31.05,81.62
13.93,31.07,81.43
13.75,31.12,81.25
13.58,31.14,80.94
13.4,31.12,81.03
13.4,31.16,81.08
13.4,31.21,81.13
13.4,31.25,80.96
13.4,31.29,80.63
13.4,31.3,80.55
13.4,31.35,80.35
13.4,31.39,80.02
13.4,31.43,79.82
13.4,31.5,79.48
13.4,31.5,79.33
13.4,31.54,79.19
13.4,31.57,78.96
13.4,31.57,78.88
13.4,31.65,78.18
13.4,31.63,77.92
13.4,31.66,77.87
13.4,31.65,77.79
13.4,31.64,77.71
13.4,31.63,77.63
13.4,31.62,77.6
13.4,31.65,77.92
13.4,31.66,78.14
13.4,31.66,77.43
13.4,31.65,76.84
13.4,31.66,77.15
13.4,31.63,77.27
13.4,31.65,76.71
13.4,31.65,76.41
13.4,31.63,76.03
13.4,31.59,76.31
13.4,31.57,76.95
13.4,31.56,77.65
13.4,31.56,77.87
13.4,31.6,77.75
13.43,31.63,77.49
13.47,31.66,77.85
13.5,31.69,77.77
13.54,31.73,76.95
13.57,31.74,75.8
13.61,31.72,76.07
13.64,31.7,76.63
13.67,31.66,76.46
13.71,31.65,76.03
13.74,31.57,76.11
13.78,31.51,77.35
13.81,31.51,78.39
13.85,31.53,78.97
13.88,31.57,78.58
13.91,31.65,77.45
13.95,31.69,77.81
13.98,31.73,77.24
14.02,31.76,77.25
14.05,31.77,76.54
14.09,31.78,77.15
14.12,31.81,78.23
14.15,31.85,78.41
14.19,31.91,78.3
14.22,32.01,78.53
14.26,32.1,78.21
14.29,32.15,77.87
14.33,32.22,77.57
14.36,32.29,77.04
14.39,32.38,76.52
14.43,32.43,75.61
14.46,32.48,75.56
14.5,32.51,74.72
14.53,32.48,74.34
14.57,32.46,75.59
14.6,32.45,76.21
14.56,32.45,76.86
14.51,32.48,76.62
14.47,32.51,76.71
14.42,32.58,76.21
14.38,32.62,76.13
14.33,32.65,75.47
14.29,32.67,74.81
14.24,32.65,75.93
14.2,32.66,76.2
14.15,32.67,77.65
14.11,32.72,77.92
14.06,32.75,77.58
14.02,32.77,77.85
13.97,32.82,78.09
13.93,32.87,77.29
13.88,32.88,76.87
13.84,32.94,75.37
13.79,32.96,75.04
13.75,32.94,75.03
13.7,32.94,74.89
13.66,32.93,75.19
13.61,32.94,75.06
13.57,32.96,75.27
13.52,32.97,75.48
13.48,32.99,75.52
13.43,33.03,75.23
13.39,33.04,75.03
13.34,33.05,74.84
13.3,33.06,74.64
13.31,33.08,74.79
13.31,33.1,75.49
13.32,33.13,75.8
13.32,33.15,76.26
13.33,33.21,76.67
13.33,33.24,76.5
13.34,33.27,77
13.34,33.28,77.38
13.35,33.35,74.76
13.35,33.34,73.67
13.36,33.31,76.83
13.36,33.3,76.92
13.37,33.3,77.01
13.38,33.31,77.44
13.38,33.37,77.27
13.39,33.42,77.11
13.39,33.42,77.69
13.4,33.49,75.51
13.4,33.51,73.41
13.41,33.42,70.54
13.41,33.3,73.25
13.42,33.22,75.52
13.42,33.14,75.52
13.43,33.15,75.5
13.44,33.14,75.46
13.44,33.13,71.14
13.45,33.08,73.06
13.45,33.07,74.27
13.46,33.04,73.99
13.46,33.02,74.08
13.47,33.07,73.7
13.47,33.06,73.65
13.48,33.06,73.15
13.48,33.1,73.22
13.49,33.1,73.85
13.49,33.14,73.16
13.5,33.11,73.52
13.5,33.13,73.34
13.49,33.18,73.7
13.49,33.2,73.72
13.49,33.22,73.87
13.49,33.24,73.94
13.48,33.27,73.45
13.48,33.27,73.44
13.48,33.27,73.24
13.48,33.3,73.2
13.47,33.3,73.29
13.47,33.31,73.16
13.47,33.32,73.17
13.47,33.31,73.22
13.46,33.34,72.94
13.46,33.34,72.94
13.46,33.37,73.18
13.46,33.37,72.94
13.45,33.39,73.06
13.45,33.41,72.82
13.45,33.41,72.28
13.44,33.42,71.81
13.44,33.42,71.83
13.44,33.42,71.18
13.44,33.42,71.03
13.43,33.39,70.71
13.43,33.37,70.45
13.43,33.34,70.34
13.43,33.32,70.78
13.42,33.31,70.83
13.42,33.3,70.88
13.42,33.28,71.16
13.42,33.28,71
13.41,33.3,71.18
13.41,33.3,71.45
13.41,33.3,71.73
13.41,33.3,72
13.4,33.31,72.08
13.4,33.35,73.11
13.42,33.39,73.04
13.44,33.44,72.22
13.47,33.48,71.78
13.49,33.51,71.19
13.51,33.54,71.4
13.53,33.52,71.17
13.56,33.54,70.86
13.58,33.59,71.25
13.6,33.59,71.11
13.62,33.61,70.98
13.64,33.59,70.97
13.67,33.62,70.43
13.69,33.63,69.83
13.71,33.65,70.48
13.73,33.65,70.73
13.76,33.7,70.85
13.78,33.7,70.72
13.8,33.72,70.56
13.82,33.76,69.85
13.84,33.77,69.42
13.87,33.77,68.66
13.89,33.77,69.57
13.91,33.8,69.14
13.93,33.77,69.26
13.96,33.76,68.93
13.98,33.75,69.29
14,33.79,69.45
14.02,33.77,69.56
14.04,33.8,69.51
14.07,33.79,69.35
14.09,33.82,69.51
14.11,33.83,69.59
14.13,33.86,69.34
14.16,33.88,68.41
14.18,33.92,67.68
14.2,33.93,67.08
14.2,33.93,66.79
14.21,33.94,66.27
14.21,33.93,66.23
14.21,33.92,66.24
14.21,33.89,66.22
14.22,33.89,66.02
14.22,33.9,66.65
14.22,33.86,66.7
14.23,33.86,66.6
14.23,33.88,66.38
14.23,33.88,65.83
14.24,33.83,65.65
14.24,33.85,66.06
14.24,33.8,66.66
14.24,33.8,66.41
14.25,33.79,67.45
14.25,33.83,68.07
14.25,33.85,68.21
14.26,33.89,68.31
14.26,33.93,68.01
14.26,33.97,67.97
14.26,33.99,67.96
14.27,33.99,68.12
14.27,34.02,67.91
14.27,34.07,67.11
14.28,34.06,66.34
14.28,34.06,66.18
14.28,34.04,65.56
14.29,34.06,65.06
14.29,34.02,64.77
14.29,33.99,64.76
14.29,33.97,64.52
14.3,33.92,64.97
14.3,33.9,65.04
14.17,33.89,64.71
14.03,33.9,64.93
13.9,33.88,64.99
13.77,33.9,64.93
13.63,33.92,64.74
13.5,33.9,64.2
13.37,33.92,64.39
13.23,33.9,63.8
13.1,33.89,63.7
12.97,33.88,63.77
12.83,33.87,63.85
12.7,33.86,63.92
12.57,33.85,63.99
12.43,33.85,64.31
12.3,33.86,63.75
12.17,33.85,63.98
12.03,33.85,64.12
11.9,33.88,63.72
11.77,33.89,63.27
11.63,33.92,63.91
11.5,33.9,63.26
11.37,33.92,63.13
11.23,33.9,63.04
11.1,33.9,63.07
11.13,33.86,63.3
11.16,33.85,63.14
11.19,33.85,63.41
11.22,33.8,63.42
11.26,33.77,63.32
11.29,33.76,63.37
11.32,33.69,63.66
11.35,33.72,63.5
11.38,33.66,63.48
11.41,33.65,63.74
11.44,33.62,63.72
11.47,33.59,64.05
11.51,33.58,64.28
11.54,33.57,64.25
11.57,33.54,64.19
11.6,33.48,64.27
11.63,33.45,64.39
11.66,33.42,64.33
11.69,33.41,64.28
11.72,33.39,64.22
11.76,33.37,64.93
11.79,33.35,64.44
11.82,33.37,64.18
11.85,33.34,64.16
11.88,33.34,64.27
11.91,33.28,64.89
11.94,33.3,65.67
11.97,33.28,66.16
12.01,33.31,66.02
12.04,33.32,66.43
12.07,33.34,66.53
12.1,33.34,66.54
12.07,33.35,66.65
12.03,33.35,66.63
12,33.35,66.42
11.97,33.35,66.03
11.93,33.34,66.43
11.9,33.32,66.25
11.87,33.32,66.23
11.83,33.35,66.75
11.8,33.32,67.01
11.77,33.38,66.72
11.73,33.42,66.45
11.7,33.42,66.85
11.67,33.45,67
11.63,33.47,67.34
11.6,33.45,65.22
11.57,33.45,67.16
11.53,33.44,67.65
11.5,33.42,67.55
11.47,33.44,66.77
11.43,33.48,66.44
11.4,33.48,65.94
11.37,33.51,65.86
11.33,33.48,65.41
11.3,33.49,65.45
11.31,33.47,65.29
11.31,33.47,65.61
11.32,33.48,65.87
11.33,33.47,66.08
11.33,33.49,66.26
11.34,33.51,66.37
11.35,33.57,66.09
11.36,33.59,65.87
11.36,33.63,65.69
11.37,33.65,65.46
11.38,33.68,65.18
11.38,33.72,64.9
11.39,33.72,64.7
11.4,33.75,64.56
11.4,33.79,64.43
11.41,33.82,64.29
11.42,33.86,63.93
11.42,33.88,63.65
11.43,33.93,63.65
11.44,33.93,63.75
11.44,34,63.43
11.45,34.03,63.3
11.46,34.04,63.61
11.47,34.07,63.91
11.47,34.13,63.64
11.48,34.14,63.62
11.49,34.16,63.45
11.49,34.19,63.61
11.5,34.17,63.87
11.5,34.23,64.25
11.51,34.21,64.25
11.51,34.23,64.53
11.51,34.27,64.22
11.52,34.28,64.59
11.52,34.33,64.46
11.53,34.3,64.71
11.53,34.34,64.36
11.53,34.38,64.19
11.54,34.41,64.39
11.54,34.45,64.46
11.54,34.5,64.4
11.55,34.5,64.84
11.55,34.55,63.89
11.55,34.55,63.6
11.56,34.57,64.5
11.56,34.58,64.45
11.56,34.58,64.65
11.57,34.61,64.92
11.57,34.67,64.56
11.57,34.72,64.67
11.58,34.79,64.04
11.58,34.82,63.85
11.59,34.88,63.32
11.59,34.92,63.06
11.59,34.99,62.62
11.6,34.98,62.98
11.6,35.03,63.05
11.6,35.05,60.85
11.6,35.03,60.53
11.6,34.95,62.22
11.6,34.86,63.68
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
11.6,34.89,64.29
